,Exclusion,Inclusion,NCT
13,":            -  Proliferative retinopathy or maculopathy            -  Recurrent major hypoglycaemia            -  uncontrolled hypertension or any disease or condition (such as renal, hepatic or              cardiac) that according to the judgement of the Investigator makes the subject              unsuitable for participation in the trial",:            -  Type 2 diabetes for at least 12 months            -  Currently treated with Oral Antidiabetic Drugs            -  BMI lesser than or equal to 40 kg/m2            -  HbA1c greater than or equal 7.5 and lesser than or equal to 11%          ,NCT00104182
14,":            -  patients with underlying neurological disorders or neurocognitive deficits which would              affect either mental status testing during treatment or subsequent neurocognitive              testing after recovery            -  patients who present with concomitant alcohol or drug use, head trauma, meningitis or              other conditions which might affect neurological function            -  patients transferred to one of the participating emergency departments after              initiation of DKA treatment other than one 10cc/kg intravenous bolus of 0.9% saline            -  patients who are known to be pregnant at time of ED evaluation            -  patients who have been enrolled in this study twice previously            -  patients for whom the treating physician believed a specific fluid and electrolyte              regimen was warranted            -  patients for whom informed consent could not be obtained within 1 hour after              completion of the initial fluid bolus, or within 2 hours from initiation of fluids,              whichever is longer            -  Patients who have been receiving IV fluids at a maintenance rate or greater (defined              by the 4-2-1 rule) for more than two hours; OR            -  Patients for whom it has been more than four hours since DKA therapy (IV fluids, IV              bolus, or IV insulin) began; OR            -  Patients who have been given hyperosmolar therapy (i.e. mannitol or 3% normal saline)              prior to or since arriving at one of the participating PECARN emergency departments;              OR            -  Patients for whom the treating physician intends to immediately administer              hyperosmolar therapy (i.e. mannitol or 3% normal saline); OR            -  Patients whose baseline GCS is 11 or less.",:            -  must present or be transferred to a participating emergency department            -  age less than 18 years            -  diagnosis of DKA                 -  serum glucose or fingerstick glucose concentration >300 mg/dL                 -  venous pH < 7.25 OR serum bicarbonate concentration < 15 mmol/L.          ,NCT01365793
15,,I,NCT03351478
16,:            -  Treatment with glucose-lowering agent(s) other than stated in the inclusion criteria              within 12 weeks            -  Calcitonin equal to or above 50 pg/mL            -  Stroke; heart failure New York Heart Association (NYHA) class III or IV; myocardial              infarction; unstable angina pectoris; or coronary arterial bypass graft or              angioplasty; all within 24 weeks            -  Current or past (within the last 5 years) malignant neoplasms (except basal cell and              squamous cell carcinoma),":            -  Type 2 diabetes            -  Insulin naïve            -  Ongoing treatment with metformin or metformin in combination with either sulphonylurea              (SU), glinides, dipeptidyl peptidase-IV (DPP-IV) inhibitors or exenatide (only twice              daily (BID))            -  Glycosylated haemoglobin (HbA1c) (by central laboratory analysis): a. 7.5-10.0 % (both              inclusive) for subjects on metformin monotherapy, b. 7.0-9.0 % (both inclusive) for              subjects on metformin in combination with either SU, glinides, DPP-IV inhibitors or              exenatide (only BID)          ",NCT01664247
17,":            1. Participation in any other concurrent clinical trials            2. Pregnancy or premenopausal women who are trying to be pregnant            3. Patients who are incompetent to give consent            4. Patients on non-steroidal anti-inflammatory drugs or steroids            5. Concurrent disease that could disrupt intestinal epithelium and increase permeability              to endotoxin, ie Celiac and Crohns disease.            6. Hepatic disease (transaminase > 3 times normal)            7. Renal impairment (serum creatinine > 1.5 mg/dl)            8. History of drug or alcohol abuse            9. Use of over the counter or prescribed probiotic supplements.           10. Recent or current antibiotic use.           11. Coronary artery disease (CAD): documented by history of myocardial infarction,              angioplasty/stent placement, angina, exercise EKG positive for ischemia or              angiographic evidence of CAD",:            1. Men and women 18 to 80 years of age            2. Non-smoker (last cigarette at least one month ago)            3. Type 2 diabetes for at least 1 year            4. Body mass index > 30 kg/m2          ,NCT02868788
18,":            -  Female who is pregnant, breast-feeding or intends to become pregnant or of              childbearing potential not using adequate contraceptive method (adequate contraceptive              measures as required by local regulation or practice) throughout the trial including              the 5 week follow-up period            -  Any disorder which, in the opinion of the Investigator might jeopardise subject's              safety or compliance with the protocol            -  Treatment with any glucose lowering agent(s) other than stated in the inclusion              criteria in a period of 90 days before screening. An exception is short-term treatment              (7 days or less in total) with insulin in connection with intercurrent illness            -  History of chronic or idiopathic acute pancreatitis            -  Screening calcitonin value greater than or equal to 50 ng/L            -  Personal or family history of medullary thyroid carcinoma or multiple endocrine              neoplasia syndrome 2            -  Severe renal impairment defined as estimated glomerular filtration rate (eGFR) less              than 30 mL/min/1.73 m^2 per modification of diet in renal disease (MDRD) formula (4              variable version)            -  Acute coronary or cerebrovascular event within 90 days before randomisation            -  Heart failure, New York Heart Association Class IV            -  Known proliferative retinopathy or maculopathy requiring acute treatment according to              the opinion of the investigator            -  Diagnosis of malignant neoplasm in the previous 5 years (except basal cell skin cancer              or squamous cell skin cancer)            -  Mental inability, unwillingness or language barrier precluding adequate understanding              of or compliance with study procedures",":            -  Male or female, 18 years or older at the time of signing informed consent            -  Insulin-naïve subjects diagnosed with type 2 diabetes and on stable diabetes treatment              with metformin or metformin and SU (metformin 1500 mg or higher or maximum tolerated              dose and SU half of maximum allowed dose according to national label or higher) for at              least 90 days before screening. Stable is defined as unchanged medication and              unchanged dose            -  HbA1c 7.0 - 10.0% (53 - 86 mmol/mol) both inclusive          ",NCT02128932
19,":            -  Type 2 diabetes            -  Previously treated with thiazolidinediones (ever) or metformin (within one year)            -  Previously treated with a sulfonylurea, a meglitinide, an alpha glucosidase inhibitor              for more than a week within last year or within the 3 months prior to randomization            -  Previously treated with insulin (other than during pregnancy) for more than one week              within the last year or within the 3 months prior to randomization            -  Cardiovascular disease            -  Hospitalization for treatment of heart disease or stroke in past 6 months            -  New York Heart Association Functional Class > 2            -  Left bundle branch block or third degree AV block            -  Aortic stenosis            -  SBP > 180 mmHg or DBP > 105 mmHg            -  Renal disease            -  Anemia            -  Hepatitis            -  GI diseases (pancreatitis, inflammatory bowel disease)            -  Recent or significant abdominal surgery            -  Advanced pulmonary disease            -  Chronic infections            -  Weight loss > 10% in past 6 months            -  Pregnancy and childbearing            -  Major psychiatric disorders            -  Excessive alcohol intake            -  Thiazide use > 25 mg per day            -  Non-selective beta blockers            -  Niacin            -  Systemic glucocorticoids            -  Weight loss or weight gain medication            -  Thyroid disease-suboptimally treated            -  Active endocrine diseases (Cushing's, acromegaly)            -  Plasma triglycerides over 400 mg/dl (despite treatment)            -  History bladder cancer            -  Hematuria",":            -  Men and women            -  All ethnic groups            -  18 years of age and older            -  Impaired glucose tolerance by glucose tolerance test (fasting glucose 95-125 mg/dl and              2 hr glucose of 140-199 mg/dl)            -  At least one of the following:                 -  One or more components of the insulin resistance syndrome (HDL < 40 mg/dl in                   females and <35 mg/dl in males, fasting triglycerides > 150 mg/dl, blood pressure                   > 135/85 mmHg, BMI > 24 kg/m2, waist circumference > 102 cm in men and > 88 cm in                   women)                 -  One or more first degree relatives with type 2 diabetes                 -  History of gestational diabetes                 -  Polycystic ovarian disease                 -  Minority ethnic background (Mexican American, African American, Asian and Pacific                   Islanders, Native American)          ",NCT00220961
20,:            -  Drug abuse history            -  Cardiopulmonary disease            -  Monoamine oxidase inhibitors (MAOIs)            -  Expected to have surgery to relieve the pain,:            -  Chronic pain diagnosis            -  Opioid tolerant            -  Has on average 1-4 breakthrough pain episodes per day          ,NCT00228605
21,":            1. Type 1 diabetes for less than 6 months;            2. Coronary event or procedure (myocardial infarction, unstable angina, coronary artery              bypass, surgery or coronary angioplasty) in the previous four weeks;            3. Hepatic disease (transaminase > 3 times normal) or cirrhosis;            4. Renal impairment (serum eGFR < 30ml/min/1.73m2);            5. HIV or Hepatitis B or C positive status;            6. Participation in any other concurrent clinical trial;            7. Any other life-threatening, non-cardiac disease;            8. Use of an investigational agent or therapeutic regimen within 30 days of study.            9. history of pancreatitis           10. pregnancy           11. inability to give informed consent           12. history of gastroparesis           13. history of medullary thyroid carcinoma or MEN 2 syndrome.",:            1. Type 1 Diabetes on continuous subcutaneous insulin infusion (CSII; also known as              insulin pump) or multiple (four or more) injections of insulin per day.            2. Regularly measuring blood sugars four times daily.            3. HbA1c of less than 8.5%.            4. Well versed with carbohydrate counting.            5. Age 18-75 years.            6. BMI 20-40 kg/m2          ,NCT01722240
22," :            1. Subject has a history (≥ 2 events) of hypoglycemic seizure or hypoglycemic coma within              the last 6 months            2. Subject is pregnant as assessed by a pregnancy test with central laboratory, or plans              to become pregnant during the course of the study            3. Participation in another interventional clinical study, on-going or completed less              than 3 months prior to signature of Patient Informed Consent.            4. Subject has proliferative retinopathy or sight threatening maculopathy            5. Subject has                 -  an acute coronary syndrome (myocardial infarction or unstable angina) within 12                   months OR                 -  coronary artery revascularization by bypass surgery or stenting within 3 months                   OR                 -  a transient ischemic attack (TIA) or cerebrovascular accident (CVA) within 3                   months OR                 -  hospitalization for heart failure within 3 months or current New York Functional                   Class III or IV OR                 -  current 2nd or 3rd degree heart block OR                 -  symptomatic ventricular rhythm disturbances OR                 -  thromboembolic disease within the last 3 months OR                 -  2nd degree Mobitz type II or 3rd degree heart block            6. Subject with renal impairment expressed as estimated glomerular filtration rate (eGFR)              using the Modification of Diet in Renal Disease (MDRD) formula < 30 ml/min as              demonstrated by the screening central laboratory value at the time of enrollment            7. Subject has taken oral or injectable steroids within the last 30 days            8. Systolic blood pressure on screening visit is > 180 mmHg            9. Diastolic blood pressure on screening visit is > 110 mmHg           10. Any other disease (eg active cancer under treatment) or condition including              abnormalities found on the screening tests, that in the opinion of the Investigator,              may preclude him/her from participating in the study           11. Taking any medication prescribed for weight loss           12. Alcohol or drug abuse, other than nicotine, at the investigator's discretion           13. Use of a GLP-1 agonist or pramlintide (Symlin)"," at screening:            1. Diagnosed with type 2 DM, as per Investigator discretion            2. HbA1c (DCCT-standard) must be ≥ 8.0% and ≤12% as evidenced by central lab value taken              at screening            3. Insulin resistance defined as required daily dose between 0.5-1.8 U/Kg or a maximum of              220 units of insulin per day            4. Aged 30 to 75 years old (inclusive)            5. On MDI regimen (basal/bolus regimen with long-acting insulin and rapid acting analogs)              defined as ≥ 3 injections per day for at least 3 months prior signing the informed              consent            6. Ability to comply with technology, according to Investigator's judgment            7. Patients must be willing to undergo all study procedures            8. Female patients of child-bearing potential must be using adequate contraception means              as assessed by Investigator          at randomisation:            1. Diagnosed with type 2 DM, as per Investigator discretion            2. HbA1c (DCCT-standard) must be ≥ 8.0% and ≤12% as evidenced by central lab value            3. Insulin resistance defined as required daily dose between 0.7-1.8 U/Kg or a maximum of              220 units of insulin per day            4. On MDI (basal/bolus regimen with long-acting insulin and rapid acting analogs) defined              as ≥ 3 injections per day            5. Ability to comply with technology, according to Investigator's judgment            6. ≥ 2.5 SMBG per day on average, as reported in Carelink clinical during the run-in              phase.            7. Patients must be willing to undergo all study procedures            8. Female patients of child-bearing potential must be using adequate contraception means              as assessed by Investigator          ",NCT01182493
23,,I,NCT01194830
24,,S,NCT00642681
